X_i, allowed Y_i
-31958, "[-810; 32767]"
-31957, "[-811; 32767]"
-31956, "[-812; 32767]"
-31955, "[-813; 32767]"
-31954, "[-814; 32767]"
-31953, "[-815; 32767]"
-31952, "[-816; 32767]"
-31951, "[-817; 32767]"
-31950, "[-818; 32767]"
-31949, "[-819; 32767]"
-31948, "[-820; 32767]"
-31947, "[-821; 32767]"
-31946, "[-822; 32767]"
-31945, "[-823; 32767]"
-31944, "[-824; 32767]"
-31943, "[-825; 32767]"
-31942, "[-826; 32767]"
-31941, "[-827; 32767]"
-31940, "[-828; 32767]"
-31939, "[-829; 32767]"
-31938, "[-830; 32767]"
-31937, "[-831; 32767]"
-31936, "[-832; 32767]"
-31935, "[-833; 32767]"
-31934, "[-834; 32767]"
-31933, "[-835; 32767]"
-31932, "[-836; 32767]"
-31931, "[-837; 32767]"
-31930, "[-838; 32767]"
-31929, "[-839; 32767]"
-31928, "[-840; 32767]"
-31927, "[-841; 32767]"
-31926, "[-842; 32767]"
-31925, "[-843; 32767]"
-31924, "[-844; 32767]"
-31923, "[-845; 32767]"
-31922, "[-846; 32767]"
-31921, "[-847; 32767]"
-31920, "[-848; 32767]"
-31919, "[-849; 32767]"
-31918, "[-850; 32767]"
-31917, "[-851; 32767]"
-31916, "[-852; 32767]"
-31915, "[-853; 32767]"
-31914, "[-854; 32767]"
-31913, "[-855; 32767]"
-31912, "[-856; 32767]"
-31911, "[-857; 32767]"
-31910, "[-858; 32767]"
-31909, "[-859; 32767]"
-31908, "[-860; 32767]"
-31907, "[-861; 32767]"
-31906, "[-862; 32767]"
-31905, "[-863; 32767]"
-31904, "[-864; 32767]"
-31903, "[-865; 32767]"
-31902, "[-866; 32767]"
-31901, "[-867; 32767]"
-31900, "[-868; 32767]"
-31899, "[-869; 32767]"
-31898, "[-870; 32767]"
-31897, "[-871; 32767]"
-31896, "[-872; 32767]"
-31895, "[-873; 32767]"
-31894, "[-874; 32767]"
-31893, "[-875; 32767]"
-31892, "[-876; 32767]"
-31891, "[-877; 32767]"
-31890, "[-878; 32767]"
-31889, "[-879; 32767]"
-31888, "[-880; 32767]"
-31887, "[-881; 32767]"
-31886, "[-882; 32767]"
-31885, "[-883; 32767]"
-31884, "[-884; 32767]"
-31883, "[-885; 32767]"
-31882, "[-886; 32767]"
-31881, "[-887; 32767]"
-31880, "[-888; 32767]"
-31879, "[-889; 32767]"
-31878, "[-890; 32767]"
-31877, "[-891; 32767]"
-31876, "[-892; 32767]"
-31875, "[-893; 32767]"
-31874, "[-894; 32767]"
-31873, "[-895; 32767]"
-31872, "[-896; 32767]"
-31871, "[-897; 32767]"
-31870, "[-898; 32767]"
-31869, "[-899; 32767]"
-31868, "[-900; 32767]"
-31867, "[-901; 32767]"
-31866, "[-902; 32767]"
-31865, "[-903; 32767]"
-31864, "[-904; 32767]"
-31863, "[-905; 32767]"
-31862, "[-906; 32767]"
-31861, "[-907; 32767]"
-31860, "[-908; 32767]"
-31859, "[-909; 32767]"
-31858, "[-910; 32767]"
-31857, "[-911; 32767]"
-31856, "[-912; 32767]"
-31855, "[-913; 32767]"
-31854, "[-914; 32767]"
-31853, "[-915; 32767]"
-31852, "[-916; 32767]"
-31851, "[-917; 32767]"
-31850, "[-918; 32767]"
-31849, "[-919; 32767]"
-31848, "[-920; 32767]"
-31847, "[-921; 32767]"
-31846, "[-922; 32767]"
-31845, "[-923; 32767]"
-31844, "[-924; 32767]"
-31843, "[-925; 32767]"
-31842, "[-926; 32767]"
-31841, "[-927; 32767]"
-31840, "[-928; 32767]"
